fiscalyear_id:id,date_stop,name,date_start,state,id
FY2001,2001-01-31,01/2001,2001-01-01,draft,period_2001-1
FY2001,2001-02-28,02/2001,2001-02-01,draft,period_2001-2
FY2001,2001-03-31,03/2001,2001-03-01,draft,period_2001-3
FY2001,2001-04-30,04/2001,2001-04-01,draft,period_2001-4
FY2001,2001-05-31,05/2001,2001-05-01,draft,period_2001-5
FY2001,2001-06-30,06/2001,2001-06-01,draft,period_2001-6
FY2001,2001-07-31,07/2001,2001-07-01,draft,period_2001-7
FY2001,2001-08-31,08/2001,2001-08-01,draft,period_2001-8
FY2001,2001-09-30,09/2001,2001-09-01,draft,period_2001-9
FY2001,2001-10-31,10/2001,2001-10-01,draft,period_2001-10
FY2001,2001-11-30,11/2001,2001-11-01,draft,period_2001-11
FY2001,2001-12-31,12/2001,2001-12-01,draft,period_2001-12
FY2002,2002-01-31,01/2002,2002-01-01,draft,period_2002-1
FY2002,2002-02-28,02/2002,2002-02-01,draft,period_2002-2
FY2002,2002-03-31,03/2002,2002-03-01,draft,period_2002-3
FY2002,2002-04-30,04/2002,2002-04-01,draft,period_2002-4
FY2002,2002-05-31,05/2002,2002-05-01,draft,period_2002-5
FY2002,2002-06-30,06/2002,2002-06-01,draft,period_2002-6
FY2002,2002-07-31,07/2002,2002-07-01,draft,period_2002-7
FY2002,2002-08-31,08/2002,2002-08-01,draft,period_2002-8
FY2002,2002-09-30,09/2002,2002-09-01,draft,period_2002-9
FY2002,2002-10-31,10/2002,2002-10-01,draft,period_2002-10
FY2002,2002-11-30,11/2002,2002-11-01,draft,period_2002-11
FY2002,2002-12-31,12/2002,2002-12-01,draft,period_2002-12
FY2003,2003-01-31,01/2003,2003-01-01,draft,period_2003-1
FY2003,2003-02-28,02/2003,2003-02-01,draft,period_2003-2
FY2003,2003-03-31,03/2003,2003-03-01,draft,period_2003-3
FY2003,2003-04-30,04/2003,2003-04-01,draft,period_2003-4
FY2003,2003-05-31,05/2003,2003-05-01,draft,period_2003-5
FY2003,2003-06-30,06/2003,2003-06-01,draft,period_2003-6
FY2003,2003-07-31,07/2003,2003-07-01,draft,period_2003-7
FY2003,2003-08-31,08/2003,2003-08-01,draft,period_2003-8
FY2003,2003-09-30,09/2003,2003-09-01,draft,period_2003-9
FY2003,2003-10-31,10/2003,2003-10-01,draft,period_2003-10
FY2003,2003-11-30,11/2003,2003-11-01,draft,period_2003-11
FY2003,2003-12-31,12/2003,2003-12-01,draft,period_2003-12
FY2004,2004-01-31,01/2004,2004-01-01,draft,period_2004-1
FY2004,2004-02-29,02/2004,2004-02-01,draft,period_2004-2
FY2004,2004-03-31,03/2004,2004-03-01,draft,period_2004-3
FY2004,2004-04-30,04/2004,2004-04-01,draft,period_2004-4
FY2004,2004-05-31,05/2004,2004-05-01,draft,period_2004-5
FY2004,2004-06-30,06/2004,2004-06-01,draft,period_2004-6
FY2004,2004-07-31,07/2004,2004-07-01,draft,period_2004-7
FY2004,2004-08-31,08/2004,2004-08-01,draft,period_2004-8
FY2004,2004-09-30,09/2004,2004-09-01,draft,period_2004-9
FY2004,2004-10-31,10/2004,2004-10-01,draft,period_2004-10
FY2004,2004-11-30,11/2004,2004-11-01,draft,period_2004-11
FY2004,2004-12-31,12/2004,2004-12-01,draft,period_2004-12
FY2005,2005-01-31,01/2005,2005-01-01,draft,period_2005-1
FY2005,2005-02-28,02/2005,2005-02-01,draft,period_2005-2
FY2005,2005-03-31,03/2005,2005-03-01,draft,period_2005-3
FY2005,2005-04-30,04/2005,2005-04-01,draft,period_2005-4
FY2005,2005-05-31,05/2005,2005-05-01,draft,period_2005-5
FY2005,2005-06-30,06/2005,2005-06-01,draft,period_2005-6
FY2005,2005-07-31,07/2005,2005-07-01,draft,period_2005-7
FY2005,2005-08-31,08/2005,2005-08-01,draft,period_2005-8
FY2005,2005-09-30,09/2005,2005-09-01,draft,period_2005-9
FY2005,2005-10-31,10/2005,2005-10-01,draft,period_2005-10
FY2005,2005-11-30,11/2005,2005-11-01,draft,period_2005-11
FY2005,2005-12-31,12/2005,2005-12-01,draft,period_2005-12
