"AID,A,10","AISTITLE,L,1","HEADING1,A,40","HEADING2,A,40","ASECONDID,A,10","AFREE,A,40","ACAT,A,3","AINTCAT,A,10","ACATCOMM,A,1","ADBCD,A,1","AISCOST,L,1","AVATTYPE,A,1","AVATENAT1,A,3","AVATENAT2,A,3","AVATECMP,N,8","AVATNNAT1,A,3","AVATNNAT2,A,3","AVATNCMP,N,8","AVATINAT1,A,3","AVATINAT2,A,3","AVATICMP,N,8","AISSUMMARY,L,1","AISSTATUS,L,1","AISREADONL,L,1","AISSECRET,L,1","VTRAVFA,L,1","AISMATCH,L,1","DEPACC,A,10","PROVACC,A,10","HISINTRASTAT,L,1","AMATCHNO,I,4","ABALANCE,A,10","AREM,A,35","AVATCAS,L,1","ACCTSECONDID,L,1","AMEMO,M,11","CREATEDATE,@,8","MODIFYDATE,@,8","AUTHOR,A,10","PRCNDCHARGES,N,8","PRCPRIVATE,N,8","COSTRDEP,L,1","COST_DEP,A,8","COSTRPROD,L,1","COST_PROD,A,10","COSTRPROJ,L,1","COST_PROJ,A,8","TYPENDCHARGES,A,3","CREATEDBY,A,10","CREATEDON,@,8","MODIFIEDBY,A,10","MODIFIEDON,@,8","TRFTSTATUS,A,3","STATIONID,A,3","AFIXTYPE,A,10","ASLEEPING,L,1","DISCADVNOT,L,1"
1,1,CPTES DE FONDS PROPRES + 1AN,,,,,,,,0,,,,,,,,,,,0,0,1,0,0,0,,,0,,LIABILIT,,0,0,,1998-12-26 14:06:24,2004-04-01 13:55:10,NEURAY,,,0,,0,,0,,,,,SCHILS,2007-05-15 12:30:36,M,,,0,0
10,1,CAPITAL,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,,,0,,LIABILIT,,0,0,,1998-12-26 14:06:24,1998-12-26 14:06:24,NEURAY,,,0,,0,,0,,,,,SCHILS,2007-03-02 10:25:58,M,,,0,0
100000,0,AVOIR SOCIAL,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,1,LIABILIT,ASSIMILE AU CAPITAL,0,0,,1998-12-26 14:06:24,1998-12-26 14:06:24,NEURAY,,,0,,0,,0,,,,,SCHILS,2007-03-02 10:25:58,M,,,0,0
11,1,PRIMES D'EMISSION,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,,,0,,LIABILIT,,0,0,,1998-12-26 14:06:24,1998-12-26 14:06:24,NEURAY,,,0,,0,,0,,,,,SCHILS,2007-03-02 10:25:58,M,,,0,0
12,1,PLUS-VALUES DE REEVALUATION,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,,,0,,LIABILIT,,0,0,,1998-12-26 14:06:24,1998-12-26 14:06:24,NEURAY,,,0,,0,,0,,,,,SCHILS,2007-03-02 10:25:58,M,,,0,0
13,1,RESERVES,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,,,0,,LIABILIT,,0,0,,1998-12-26 14:06:24,1998-12-26 14:06:24,NEURAY,,,0,,0,,0,,,,,SCHILS,2007-03-02 10:25:58,M,,,0,0
130000,0,RESERVES,,,,,,,C,0,,,,,,,,,,,0,0,0,0,0,1,,,0,2,LIABILIT,RESERVES DIVERSES,0,0,,1998-12-26 14:06:24,1998-12-26 14:06:24,NEURAY,,,0,,0,,0,,,,,SCHILS,2007-03-02 10:25:58,M,,,0,0
14,1,BENEFICE/PERTE REPORTE,,,,,,,C,0,,,,,,,,,,,0,0,0,0,0,0,,,0,,LIABILIT,,0,0,,1998-12-26 14:06:24,1998-12-26 14:06:24,NEURAY,,,0,,0,,0,,,,,SCHILS,2007-03-02 10:25:58,M,,,0,0
140000,0,BENEFICE REPORTE,,,,,DEFAULT,,C,0,,,,,,,,,,,0,0,0,0,0,1,,,0,2,LIABILIT,,0,0,,1998-12-26 14:06:24,2004-02-11 13:45:37,NEURAY,,,0,,0,,0,,,,,SCHILS,2007-11-07 08:23:29,M,,,0,0
141000,0,PERTE REPORTEE,,,,,DEFAULT,,,0,,,,,,,,,,,0,0,0,0,0,0,,,0,,,,0,0,,2004-02-09 15:01:29,2004-02-11 13:45:52,SCHILS,,,0,,0,,0,,,,,SCHILS,2007-11-07 08:23:29,M,,,0,0
