"ASECTION,A,10","AID,A,10","AISTITLE,L,1","HEADING1,A,35","HEADING2,A,35","AISREADONL,L,1","AISSECRET,L,1","CREATEDATE,@,8","MODIFYDATE,@,8","AUTHOR,A,10","AMATCHNO,I,4","AMEMO,M,11","CREATEDBY,A,10","CREATEDON,@,8","MODIFIEDBY,A,10","MODIFIEDON,@,8","TRFTSTATUS,A,3","COSLEEPING,L,1","COEF,N,8","CELL,A,10","ISCOEFFQTY,L,1","ISUPDAUTO,L,1","VATRATE,N,8","GRP,A,10","PRCLOSS,N,8","PRCPERSO,N,8"
DEP,ADM,0,ADMINISTRATIF,,,,2004-02-11 14:52:17,2004-03-15 16:01:25,SCHILS,,,,,BOB,2006-10-24 09:12:36,M,0,,,0,0,,,,
DEP,COMMERC,0,Equipe commerciale,,,,,,,,,NEURAY,2007-09-10 11:28:27,NEURAY,2007-09-10 11:28:27,A,,,,0,,,,,
DEP,ENVIRO,0,ENVIRONNEMENT,,,,2004-02-11 14:54:10,2004-02-11 15:05:27,SCHILS,,,,,BOB,2006-10-24 09:12:36,M,0,,,0,0,,,,
DEP,EVENEM,0,EVENEMENTS,,,,2004-02-11 14:55:18,2004-02-11 15:05:30,SCHILS,,,,,BOB,2006-10-24 09:12:36,M,0,,,0,0,,,,
DEP,FORMAT,0,FORMATIONS,,,,2004-02-11 14:55:46,2004-02-11 15:05:33,SCHILS,,,,,BOB,2006-10-24 09:12:36,M,0,,,0,0,,,,
DEP,GECCI,0,GUICHET UNIQUE,,,,2004-02-11 14:55:58,2004-02-11 15:05:36,SCHILS,,,,,BOB,2006-10-24 09:12:36,M,0,,,0,0,,,,
DEP,GECCIDP,0,GUICHET UNIQUE,,1,,,,,,,SCHILS,2005-09-14 17:15:44,BOB,2006-10-24 09:12:36,A,0,,,0,0,,,,
DEP,INFORM,0,INFORMATIQUE,,,,2004-03-11 10:34:28,2004-03-15 16:01:51,SCHILS,,,,,BOB,2006-10-24 09:12:36,M,0,,,0,0,,,,
DEP,MEMBER,0,MEMBERSHIP,,,,2004-02-11 14:57:43,2004-02-11 15:05:39,SCHILS,,,,,BOB,2006-10-24 09:12:36,M,0,,,0,0,,,,
DEP,PATRO,0,REPRESENTATION PATRONALE,,,,,,,,,SCHILS,2007-02-22 14:32:22,SCHILS,2007-02-22 14:32:48,A,,,,0,,,,,
DEP,PUBLIC,0,PUBLICATIONS,,,,2004-02-11 14:56:32,2004-02-11 15:05:43,SCHILS,,,,,BOB,2006-10-24 09:12:36,M,0,,,0,0,,,,
DEP,RI,0,RELATIONS INTERNATIONALES,,,,2004-02-11 14:57:12,2004-02-11 15:05:45,SCHILS,,,,,BOB,2006-10-24 09:12:36,M,0,,,0,0,,,,
PROD,,0,,,,,,,,,,NEURAY,2007-12-10 10:09:49,NEURAY,2007-12-10 10:09:49,A,,,,0,,,,,
PROD,123GO,0,123 GO,,,,,,,,,SCHILS,2005-05-25 11:10:06,BOB,2006-10-24 09:12:36,A,0,,,0,0,,,,
PROD,AG,0,AG,,,,,,,,,SCHILS,2006-04-21 11:45:08,BOB,2006-10-24 09:12:36,A,0,,,0,0,,,,
PROD,AIDES,0,Aides à l'investissement,,,,,,,,,SCHILS,2005-10-27 16:17:22,BOB,2006-10-24 09:12:36,A,0,,,0,0,,,,
PROD,ALTEREGO,0,ALTER EGO,,,,,,,,,SCHILS,2008-04-28 15:19:27,SCHILS,2008-04-28 15:19:27,A,,,,0,,,,,
PROD,ALTERFED,0,Alter Ego Feder,,,,,,,,,NEURAY,2007-12-10 10:37:00,NEURAY,2007-12-10 10:37:00,A,,,,0,,,,,
PROD,AMB,0,Ambassades,,,,2004-02-11 15:22:55,2004-02-11 15:23:09,SCHILS,,,,,BOB,2006-10-24 09:12:36,M,0,,,0,0,,,,
PROD,AN,0,Cocktail Nouvel AN,,,,2004-07-01 15:34:37,2004-07-01 15:34:49,SCHILS,,,,,BOB,2006-10-24 09:12:36,M,0,,,0,0,,,,
PROD,APE,0,APE,,,,,,,,,SCHILS,2005-10-27 16:17:07,BOB,2006-10-24 09:12:36,A,0,,,0,0,,,,
PROD,ATA,0,ATA,,,,2004-03-15 14:27:49,2004-03-15 14:27:53,SCHILS,,,,,BOB,2006-10-24 09:12:36,M,0,,,0,0,,,,
PROD,AUDIT,0,Audit,,,,,,,,,SCHILS,2005-08-26 10:57:59,BOB,2006-10-24 09:12:36,A,0,,,0,0,,,,
PROD,BCM1,0,BCM1,,,,2004-02-11 15:00:30,2004-02-11 15:05:55,SCHILS,,,,,BOB,2006-10-24 09:12:36,M,0,,,0,0,,,,
PROD,BCM2,0,BCM2,,,,2004-02-11 15:03:36,2004-02-11 15:05:58,SCHILS,,,,,BOB,2006-10-24 09:12:36,M,0,,,0,0,,,,
