"HID,A,10","HDBK,A,4","HFYEAR,A,5","HMONTH,I,4","HDOCNO,I,4","HORDERNO,I,4","HDBTYPE,A,3","HYEAR,I,4","HCUSSUP,A,10","HDOCDATE,D,4","HDUEDATE,D,4","HREM,A,40","HAMOUNT,$,8","HCURRENCY,A,3","HCURAMN,$,8","HBASE,$,8","HVATCODE,A,10","HTAX,$,8","HTAXND,$,8","HSTATUS,A,1","HMATCHNO,I,4","HCLASS,A,1","HTEMP,L,1","HISCOST,L,1","HORIGIN,A,1","COST_DEP,A,8","COST_PROD,A,10","COST_PROJ,A,8","CREATEDBY,A,10","CREATEDON,@,8","MODIFIEDBY,A,10","MODIFIEDON,@,8","CNTRPRTACC,A,10","HTYPE,A,3","HDISCADV,L,1","HMFYEAR,A,5","HMYEAR,I,4","HMMONTH,I,4","HMDATE,D,4","CHKDIGIT,A,10"
400000,ING,2007,12,248,67,CAS,2007,SAMIENGI,2007-12-18,2007-12-18,,-762.910000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:00:34,550000,,0,,,,,
400000,ING,2007,12,248,69,CAS,2007,SAMIENGI,2007-12-18,2007-12-18,,-54.030000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:00:34,550000,,0,,,,,
400000,ING,2007,12,248,71,CAS,2007,DEGECOM,2007-12-18,2007-12-18,,-211.750000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:00:34,550000,,0,,,,,
400000,ING,2007,12,248,73,CAS,2007,GRAS,2007-12-18,2007-12-18,,-78.650000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:00:34,550000,,0,,,,,
400000,ING,2007,12,248,75,CAS,2007,GRAS,2007-12-18,2007-12-18,,-1210.000000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:00:34,550000,,0,,,,,
400000,ING,2007,12,248,77,CAS,2007,CIRCUIT,2007-12-18,2007-12-18,,-9680.000000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:00:34,550000,,0,,,,,
400000,ING,2007,12,248,79,CAS,2007,MEUSE,2007-12-18,2007-12-18,BCM 12/07,-42.350000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:00:34,550000,,0,,,,,
400000,ING,2007,12,248,81,CAS,2007,GEVERS,2007-12-18,2007-12-18,BCM 12/07,-84.700000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:00:34,550000,,0,,,,,
400000,ING,2007,12,248,83,CAS,2007,DELCHAMB,2007-12-18,2007-12-18,,-363.000000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:00:34,550000,,0,,,,,
400000,ING,2007,12,248,85,CAS,2007,JIGAM,2007-12-18,2007-12-18,,-121.000000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:00:34,550000,,0,,,,,
400000,ING,2007,12,248,87,CAS,2007,JIGAM,2007-12-18,2007-12-18,,-423.500000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:00:34,550000,,0,,,,,
400000,ING,2007,12,248,89,CAS,2007,GROUPAS,2007-12-18,2007-12-18,,-78.650000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:00:34,550000,,0,,,,,
400000,ING,2007,12,248,101,CAS,2007,TENSACHE,2007-12-18,2007-12-18,,-484.000000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:00:34,550000,,0,,,,,
400000,ING,2007,12,248,103,CAS,2007,BODART &,2007-12-18,2007-12-18,,-484.000000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:00:34,550000,,0,,,,,
400000,ING,2007,12,248,109,CAS,2007,TECHNIFE,2007-12-18,2007-12-18,,-605.000000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:00:34,550000,,0,,,,,
400000,ING,2007,12,248,111,CAS,2007,IFE,2007-12-18,2007-12-18,,-363.000000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:00:34,550000,,0,,,,,
400000,ING,2007,12,248,115,CAS,2007,JACQUES,2007-12-18,2007-12-18,,-1210.000000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:00:34,550000,,0,,,,,
