id,name,active
cat26,x BD,t
cat2,Tableaux,t
cat42,x BD planches et dessins originaux,t
cat4,Lustres,t
cat43,x BD divers,t
cat44,x BD Hergé,t
cat45,Vins,t
cat46,Militaria,t
cat29,mobilier,f
cat38,Miroir,t
cat37,Objet,f
cat39,Livres,t
cat32,Argenterie,t
cat33,Bijoux,t
cat31,Varia,t
cat30,Verrerie,t
cat3,Tapis,t
cat6,x Jouets BA,t
cat5,x Jouets AA,f
cat7,x Jouets BB,t
cat8,x Jouets DD,t
cat9,x Jouets EE,t
cat10,x Jouets LA,t
cat11,x Jouets LL,t
cat12,x Jouets LM,t
cat13,x Jouets LP,t
cat14,x Jouets LT,t
cat15,x Jouets MEC,t
cat16,x Jouets MC,t
cat17,x Jouets MM,t
cat18,x Jouets MP,t
cat19,x Jouets MV,t
cat20,x Jouets EE,t
cat21,x Jouets OO,t
cat22,x Jouets RR,t
cat23,x Jouets SS,t
cat24,x Jouets TT,t
cat25,x Jouets XX,t
cat27,x Jouets AA,t
cat41,Sculpture,t
