"id","name","model_id:id","group_id:id","perm_read","perm_write","perm_create","perm_unlink"
"access_cci_missions_site_user","cci_missions.site User","model_cci_missions_site","group_cci_mission_user",1,0,0,0
"access_cci_missions_site_manager","cci_missions.site Manager","model_cci_missions_site","group_cci_mission_manager",1,1,1,1
"access_cci_missions_site_supervisor","cci_missions.site Supervisor","model_cci_missions_site","group_cci_mission_supervisor",1,0,0,0
"access_cci_missions_embassy_folder_user","cci_missions.embassy_folder User","model_cci_missions_embassy_folder","group_cci_mission_user",1,1,1,1
"access_cci_missions_embassy_folder_manager","cci_missions.embassy_folder Manager","model_cci_missions_embassy_folder","group_cci_mission_manager",1,0,0,0
"access_cci_missions_embassy_folder_supervisor","cci_missions.embassy_folder Supervisor","model_cci_missions_embassy_folder","group_cci_mission_supervisor",1,0,0,0
"access_cci_missions_embassy_folder_line_user","cci_missions.embassy_folder_line User","model_cci_missions_embassy_folder_line","group_cci_mission_user",1,1,1,1
"access_cci_missions_embassy_folder_line_manager","cci_missions.embassy_folder_lineManager","model_cci_missions_embassy_folder_line","group_cci_mission_manager",1,0,0,0
"access_cci_missions_embassy_folder_line_supervisor","cci_missions.embassy_folder_line Supervisor","model_cci_missions_embassy_folder_line","group_cci_mission_supervisor",1,0,0,0
"access_cci_missions_dossier_type_user","cci_missions.dossier_type User","model_cci_missions_dossier_type","group_cci_mission_user",1,0,0,0
"access_cci_missions_dossier_type_manager","cci_missions.dossier_type Manager","model_cci_missions_dossier_type","group_cci_mission_manager",1,1,1,1
"access_cci_missions_dossier_type_supervisor","cci_missions.dossier_type Supervisor","model_cci_missions_dossier_type","group_cci_mission_supervisor",1,0,0,0
"access_cci_missions_dossier_user","cci_missions.dossier User","model_cci_missions_dossier","group_cci_mission_user",1,1,1,1
"access_cci_missions_dossier_manager","cci_missions.dossier Manager","model_cci_missions_dossier","group_cci_mission_manager",1,0,0,0
"access_cci_missions_dossier_supervisor","cci_missions.dossier Supervisor","model_cci_missions_dossier","group_cci_mission_supervisor",1,0,0,0
"access_cci_missions_custom_code_user","cci_missions.custom_code User","model_cci_missions_custom_code","group_cci_mission_user",1,1,1,1
"access_cci_missions_custom_code_manager","cci_missions.custom_code Manager","model_cci_missions_custom_code","group_cci_mission_manager",1,1,1,1
"access_cci_missions_custom_code_supervisor","cci_missions.custom_code Supervisor","model_cci_missions_custom_code","group_cci_mission_supervisor",1,0,0,0
"access_cci_missions_certificate_user","cci_missions.certificate User","model_cci_missions_certificate","group_cci_mission_user",1,1,1,1
"access_cci_missions_certificate_manager","cci_missions.certificate Manager","model_cci_missions_certificate","group_cci_mission_manager",1,0,0,0
"access_cci_missions_certificate_supervisor","cci_missions.certificate Supervisor","model_cci_missions_certificate","group_cci_mission_supervisor",1,0,0,0
"access_cci_missions_legalization_user","cci_missions.legalization User","model_cci_missions_legalization","group_cci_mission_user",1,1,1,1
"access_cci_missions_legalization_manager","cci_missions.legalization Manager","model_cci_missions_legalization","group_cci_mission_manager",1,0,0,0
"access_cci_missions_legalization_supervisor","cci_missions.legalization Supervisor","model_cci_missions_legalization","group_cci_mission_supervisor",1,0,0,0
"access_cci_missions_courier_log_user","cci_missions.courier_log User","model_cci_missions_courier_log","group_cci_mission_user",1,1,1,1
"access_cci_missions_courier_log_manager","cci_missions.courier_log Manager","model_cci_missions_courier_log","group_cci_mission_manager",1,0,0,0
"access_cci_missions_courier_log_supervisor","cci_missions.courier_log Supervisor","model_cci_missions_courier_log","group_cci_mission_supervisor",1,0,0,0
"access_cci_missions_ata_usage_user","cci_missions.ata_usage User","model_cci_missions_ata_usage","group_cci_mission_user",1,0,0,0
"access_cci_missions_ata_usage_manager","cci_missions.ata_usage Manager","model_cci_missions_ata_usage","group_cci_mission_manager",1,1,1,1
"access_cci_missions_ata_usage_supervisor","cci_missions.ata_usage Supervisor","model_cci_missions_ata_usage","group_cci_mission_supervisor",1,0,0,0
"access_cci_missions_ata_carnet_user","cci_missions.ata_carnet User","model_cci_missions_ata_carnet","group_cci_mission_user",1,1,1,1
"access_cci_missions_ata_carnet_manager","cci_missions.ata_carnet Manager","model_cci_missions_ata_carnet","group_cci_mission_manager",1,0,0,0
"access_cci_missions_ata_carnet_supervisor","cci_missions.ata_carnet Supervisor","model_cci_missions_ata_carnet","group_cci_mission_supervisor",1,0,0,0
"access_cci_missions_letters_log_user","cci_missions.letters_log User","model_cci_missions_letters_log","group_cci_mission_user",1,1,1,1
"access_cci_missions_letters_log_manager","cci_missions.letters_log Manager","model_cci_missions_letters_log","group_cci_mission_manager",1,0,0,0
"access_cci_missions_letters_log_supervisor","cci_missions.letters_log Supervisor","model_cci_missions_letters_log","group_cci_mission_supervisor",1,0,0,0
"access_cci_missions_product_lines_user","cci_missions.product.lines User","model_product_lines","group_cci_mission_user",1,1,1,1
"access_cci_missions_product_lines_manager","cci_missions.product.lines Manager","model_product_lines","group_cci_mission_manager",1,0,0,0
"access_cci_missions_product_lines_supervisor","cci_missions.product.lines Supervisor","model_product_lines","group_cci_mission_supervisor",1,0,0,0
