"id","name","model_id:id","group_id:id","perm_read","perm_write","perm_create","perm_unlink"
"access_library_price_category_manager","library.price.category","model_library_price_category","library.group_library_manager",1,1,1,1
"access_library_rack_manager","library.rack","model_library_rack","library.group_library_manager",1,1,1,1
"access_library_collection_manager","library.collection","model_library_collection","library.group_library_manager",1,1,1,1
"access_library_author_manager","library.author","model_library_author","library.group_library_manager",1,1,1,1
"access_author_book_rel_manager","author.book.rel","model_author_book_rel","library.group_library_manager",1,1,1,1
"access_library_editor_supplier_manager","library.editor.supplier","model_library_editor_supplier","library.group_library_manager",1,1,1,1
"access_library_price_category","library.price.category","model_library_price_category","library.group_library_user",1,0,0,0
"access_library_rack","library.rack","model_library_rack","library.group_library_user",1,0,0,0
"access_library_collection","library.collection","model_library_collection","library.group_library_user",1,0,0,0
"access_library_author","library.author","model_library_author","library.group_library_user",1,0,0,0
"access_author_book_rel","author.book.rel","model_author_book_rel","library.group_library_user",1,0,0,0
"access_library_editor_supplier","library.editor.supplier","model_library_editor_supplier","library.group_library_user",1,0,0,0
