type,name,res_id,src,value
field,"radiotv.broadcast,description",0,Description,Descripció
field,"radiotv.broadcast,dt_end",0,End,Fi
field,"radiotv.broadcast,dt_start",0,Start,Inici
field,"radiotv.broadcast,program_id",0,Program,Programa
field,"radiotv.broadcast,channel_id",0,Channel,Canal
field,"radiotv.broadcast,url",0,URL,URL
field,"radiotv.category,program_ids",0,Programs,Programes
field,"radiotv.category,name",0,Name,Nom
field,"radiotv.category,description",0,Description,Descripció
field,"radiotv.channel,program_ids",0,Programs,Programes
field,"radiotv.channel,name",0,Name,Nom
field,"radiotv.channel,description",0,Description,Descripció
field,"radiotv.program,production_year",0,Production year,Any de producció
field,"radiotv.program,name",0,Name,Nom
field,"radiotv.program,classification",0,Classification,Classificació
field,"radiotv.program,introduction",0,Introduction,Introducció
field,"radiotv.program,channel_ids",0,Channels,Canals
field,"radiotv.program,production_country_id",0,Production country,País de producció
field,"radiotv.program,approx_duration",0,Approx. duration,Durada aprox.
help,"radiotv.program,approx_duration",0,Approximate duration in minutes,Durada aproximada en minuts
field,"radiotv.program,broadcast_ids",0,Broadcasts,Emissions
field,"radiotv.program,broadcast_language",0,Broadcast language,Idioma d'emissió
field,"radiotv.program,original_language",0,Original language,Idioma original
field,"radiotv.program,state",0,State,Estat
field,"radiotv.program,production_type",0,Production type,Tipus de producció
field,"radiotv.program,editor",0,Editor,Editor
field,"radiotv.program,team",0,Team,Equip
field,"radiotv.program,category_id",0,Category,Categoria
field,"radiotv.program,email",0,Email,Correu electrònic
field,"radiotv.program,description",0,Description,Descripció
field,"radiotv.web,url",0,URL,URL
field,"radiotv.web,active",0,Active,Actiu
field,"radiotv.web,name",0,Name,Nom
selection,"radiotv.program,classification",0,For everybody,Per a tothom
selection,"radiotv.program,classification",0,Especially recommended for the children,Especialment recomenat per a nens
selection,"radiotv.program,classification",0,Not recommended for minors of 7,No recomenat per a menors de 7 anys
selection,"radiotv.program,classification",0,Not recommended for minors of 13,No recomenat per a menors de 13 anys
selection,"radiotv.program,classification",0,Not recommended for minors of 18,No recomenat per a menors de 18 anys
selection,"radiotv.program,state",0,Archive,Arxivat
selection,"radiotv.program,state",0,Unpublish,Despublicat
selection,"radiotv.program,state",0,Publish,Publicat
selection,"radiotv.program,production_type",0,Own,Pròpia
selection,"radiotv.program,production_type",0,Foreign,Externa
rml,radiotv.broadcast.report,0,RadioTV broadcasts,Emissions de RadioTV
rml,radiotv.broadcast.report,0,Day,Dia
rml,radiotv.broadcast.report,0,Start,Inici
rml,radiotv.broadcast.report,0,End,Final
rml,radiotv.broadcast.report,0,Channel,Canal
rml,radiotv.broadcast.report,0,Program,Programa
rml,radiotv.broadcast.report,0,Description,Descripció
rml,radiotv.broadcast.report,0,URL,URL
rml,radiotv.broadcast.compact.report,0,RadioTV broadcasts:,Emissions de RadioTV:
rml,radiotv.broadcast.compact.report,0,/,
rml,radiotv.broadcast.compact.report,0,morning,Matí
rml,radiotv.broadcast.compact.report,0,.,
rml,radiotv.broadcast.compact.report,0,morning,Matí
rml,radiotv.broadcast.compact.report,0,.,
rml,radiotv.broadcast.compact.report,0,afternoon,Migdia
rml,radiotv.broadcast.compact.report,0,.,
rml,radiotv.broadcast.compact.report,0,afternoon,Migdia
rml,radiotv.broadcast.compact.report,0,.,
rml,radiotv.broadcast.compact.report,0,evening,Vespre/Nit
rml,radiotv.broadcast.compact.report,0,.,
rml,radiotv.broadcast.compact.report,0,evening,Vespre/Nit
rml,radiotv.broadcast.compact.report,0,.,
rml,radiotv.broadcast.declaration.report,0,Operator name:,Nom de l'operador:
rml,radiotv.broadcast.declaration.report,0,Company name:,Nom de l'empresa:
rml,radiotv.broadcast.declaration.report,0,Period: From,Període: des de
rml,radiotv.broadcast.declaration.report,0,to,fins a
rml,radiotv.broadcast.declaration.report,0,Program name,Nom del programa
rml,radiotv.broadcast.declaration.report,0,Type,Tipus
rml,radiotv.broadcast.declaration.report,0,Editor,Editor
rml,radiotv.broadcast.declaration.report,0,Original language,Idioma original
rml,radiotv.broadcast.declaration.report,0,Broadcast language,Idioma d'emissió
rml,radiotv.broadcast.declaration.report,0,Production country,País de producció
rml,radiotv.broadcast.declaration.report,0,Production year,Any de producció
rml,radiotv.broadcast.declaration.report,0,Classification,Classificació
rml,radiotv.broadcast.declaration.report,0,For everybody,Per a tothom
rml,radiotv.broadcast.declaration.report,0,Especially recommended for the children,Especialment recomenat per a nens
