"id","name","model_id:id","group_id:id","perm_read","perm_write","perm_create","perm_unlink"
"access_radiotv_web_all","radiotv_web all","model_radiotv_web",,1,0,0,0
"access_radiotv_web_group_erpmanager","radiotv_web erp_manager","model_radiotv_web","base.group_erp_manager",1,1,1,1
"access_radiotv_channel_all","radiotv_channel all","model_radiotv_channel",,1,0,0,0
"access_radiotv_channel_group_program","radiotv_channel group_program","model_radiotv_channel","radiotv.group_radiotv_program",1,1,1,1
"access_radiotv_program_all","radiotv_program all","model_radiotv_program",,1,0,0,0
"access_radiotv_program_group_program","radiotv_program group_program","model_radiotv_program","radiotv.group_radiotv_program",1,1,1,1
"access_radiotv_category_all","radiotv_category all","model_radiotv_category",,1,0,0,0
"access_radiotv_category_group_program","radiotv_category group_program","model_radiotv_category","radiotv.group_radiotv_program",1,1,1,1
"access_radiotv_broadcast_all","radiotv_broadcast all","model_radiotv_broadcast",,1,0,0,0
"access_radiotv_broadcast_group_program","radiotv_broadcast group_program","model_radiotv_broadcast","radiotv.group_radiotv_program",1,1,1,1
"access_radiotv_podcast_all","radiotv_podcast all","model_radiotv_podcast",,1,0,0,0
"access_radiotv_podcast_group_program","radiotv_podcast group_program","model_radiotv_podcast","radiotv.group_radiotv_program",1,1,1,1
"access_radiotv_podcast_group_podcast","radiotv_podcast group_podcast","model_radiotv_podcast","radiotv.group_radiotv_podcast",1,1,1,1
